description,assigned_team
"Problem: the device enrollment. Hi, Windows update has been stuck installing for two days, can't use the laptop.",Endpoint Management
"Question about my voicemail. Good morning, Callers say they can hear me but I can't hear them on the softphone. Also, my voicemail won't let me access voicemail. When can this be fixed?",Telephony
"Urgent: the Kubernetes cluster. Hello, The kubernetes cluster returns 503 behind the load balancer. Please advise.",Cloud & Infrastructure
"Request: the blob storage. Good morning, Please provision a new VM with 16GB RAM for the data team's pipeline. This is blocking my work.",Cloud & Infrastructure
"Problem. Good morning, It won't accept my credentials since the weekend. Appreciate any help.",Identity & Access
"the firewall rule for the payment vendor. Good morning, The firewall rule for the payment vendor warning me my machine is infected.",Security
the design software license. Please install the latest version of the design suite on my machine.,Applications
"Problem: the BI dashboard. The bi dashboard is missing the latest update. Also, the BI dashboard needs to be installed on my new laptop. Thanks in advance.",Applications
"Question. Strange message landed in my inbox, not sure it's legitimate. Let me know what's needed.",Security
"Issue. Hello, Response times are awful today and it keeps stalling.",Cloud & Infrastructure
Urgent: the laptop fan. The laptop fan won't charge past 1%.,Hardware
"Problem: the blob storage. Good morning, The blob storage won't scale up under load.",Cloud & Infrastructure
"Urgent: my desk phone. Good morning, The support hotline calls aren't reaching the queue, customers complain. Please advise.",Telephony
Issue with the company signature. The company signature lost access for half the team. This is blocking my work.,Email & Collaboration
"Question. The audio is terrible on calls, lots of echo and cutting out. Thanks in advance.",Telephony
"the laptop fan. Hi, The laptop fan is overheating and very loud. This is blocking my work.",Hardware
Question about the connection pool. Last night's backup failed with an I/O error and didn't retry. Appreciate any help.,Database
"the antivirus client. Hi, The antivirus client removed an app I need for work. Thanks in advance.",Endpoint Management
"Urgent: disk encryption (BitLocker). Hey, Disk encryption (bitlocker) failed to install and rolled back. Thanks in advance.",Endpoint Management
"Help needed — the contractor account. Hi team, Offboarding: please disable all access for an employee who left today. Also, the contractor account needs to be provisioned for a new hire starting Monday. Thanks in advance.",Identity & Access
"Problem: the Kubernetes cluster. Good morning, The kubernetes cluster needs more memory provisioned. Can you take a look?",Cloud & Infrastructure
"Help needed — the firewall rule for the payment vendor. Hi team, The firewall rule for the payment vendor from an unknown IP in another country. Also, the firewall rule for the payment vendor blocking a legitimate vendor. When can this be fixed?",Security
"Problem: the OS upgrade. Hey, The os upgrade won't enroll my new device. Let me know what's needed.",Endpoint Management
"Issue with the headset for calls. The support hotline calls aren't reaching the queue, customers complain. This is blocking my work.",Telephony
"Question about a brute-force alert. Hello, Reporting a colleague's account that is sending spam to the whole company. Appreciate any help.",Security
"Issue with the MFA app. Good morning, The mfa app needs to be provisioned for a new hire starting Monday.",Identity & Access
Urgent. Suddenly I'm blocked from a shared resource I need for work. Thanks in advance.,Security
"Issue with a flagged attachment. Hey, A flagged attachment that looks like account takeover. Appreciate any help.",Security
"Issue. Hey, I can't connect from home today, it just spins and never loads. When can this be fixed?",Network
"Help needed. Hey, People can't reach me and my calls keep dropping after a second. Can you take a look?",Telephony
"Not working. Good morning, I'm completely locked out and can't start my day. This is blocking my work.",Applications
"Help needed — the antivirus alert. Hey, The antivirus alert warning me my machine is infected. Can you take a look?",Security
"Problem: the Azure VM. Hello, Please provision a new VM with 16GB RAM for the data team's pipeline. When can this be fixed?",Cloud & Infrastructure
"DNS resolution. Hey, Dns resolution won't connect at all.",Network
Question. After this morning my laptop just isn't behaving normally. Let me know what's needed.,Hardware
"Question. Good morning, My laptop won't turn on this morning, nothing happens at all. Let me know what's needed.",Hardware
"Question. Hey, From home I can't connect to any internal systems at all. Let me know what's needed.",Network
"the timesheet tool. Good morning, The ERP rejects my purchase order with a validation error every time. Appreciate any help.",Applications
"Question about my keyboard. Need the SSD upgraded, I'm constantly out of disk space on this machine. Also, my keyboard isn't detected when docked. Thanks in advance.",Hardware
Problem. Laptop restarts on its own in the middle of my work. When can this be fixed?,Endpoint Management
"Problem. Good morning, Getting an unexpected error and I can't continue with my task. This is blocking my work.",Database
"Problem: the laptop battery. Hi team, Requesting a second monitor and a docking station for my new desk. Let me know what's needed.",Hardware
"the production PostgreSQL instance. Good morning, A SELECT that used to take 1s now takes 40s after the last data load. Let me know what's needed.",Database
"Request: the company signature. Hi team, Please add three new people to the 'all-sales' distribution list. Also, the company signature shows the wrong free/busy status. When can this be fixed?",Email & Collaboration
Problem: the CI/CD runner. Requesting a new S3 bucket with read-only access for the analytics group. This is blocking my work.,Cloud & Infrastructure
"Request: the CI/CD runner. Hello, Staging environment is down after the last deploy, can you roll it back. This is blocking my work.",Cloud & Infrastructure
"the staging environment. Hello, The staging environment ran out of disk and crashed. Also, the staging environment is running at 100% CPU. Please advise.",Cloud & Infrastructure
"Question about a brute-force alert. Hey, Please review whether this attachment is safe before I open it. Thanks in advance.",Security
"Problem: the replication slave. Hey, The replication slave returns 'too many connections'.",Database
"Not working. Hi, Remote access isn't working, I can't reach anything internal. Can you take a look?",Endpoint Management
After this morning my laptop just isn't behaving normally. Can you take a look?,Hardware
"Question about the corporate firewall. Hey, Ping to the gateway is over 300ms across the whole department. When can this be fixed?",Network
"a brute-force alert. Good morning, A brute-force alert that quarantined my file. Thanks in advance.",Security
"Issue with the nightly backup job. Hi team, The nightly backup job queries are timing out. This is blocking my work.",Database
"Question. Hi team, Login fails every time even though I'm sure the password is right. This is blocking my work.",Email & Collaboration
"my headset. Hello, My headset screen flickers constantly. When can this be fixed?",Hardware
"Help needed. Hi, Massive slowdown across the board, work is barely possible. Thanks in advance.",Cloud & Infrastructure
"Request: a possible malware infection. Hi, Got an alert that someone signed into my account from Brazil at 3am. Please advise.",Security
"Hey, It keeps failing with an error message I don't understand. Please advise.",Database
"Problem: the autoscaling group. Hello, The autoscaling group needs a new node pool added. This is blocking my work.",Cloud & Infrastructure
"the timesheet tool. Hello, The timesheet tool says my license has expired.",Applications
"the floor printer. My laptop fell and the screen is now cracked, need a replacement. Let me know what's needed.",Hardware
"Problem. Hi team, The system throws an error every time I try to save. Can you take a look?",Database
"Problem. Good morning, Can't get onto the company network from home this morning. Let me know what's needed.",Endpoint Management
"Help needed — the branch-office link. Hi, The branch-office link times out when I open internal sites.",Network
"Question about the design software license. Hello, The design software license freezes when exporting to Excel. Please advise.",Applications
"Help needed — the production EC2 instance. Good morning, The production ec2 instance returns 503 behind the load balancer. Also, the production EC2 instance needs more memory provisioned. Please advise.",Cloud & Infrastructure
"my keyboard. Hello, Need the SSD upgraded, I'm constantly out of disk space on this machine. Thanks in advance.",Hardware
Question about the design software license. Please install the latest version of the design suite on my machine. Can you take a look?,Applications
"Request: the company VPN client install. Hi team, Please push the standard software bundle to my freshly imaged laptop. Also, the company VPN client install failed to install and rolled back. Can you take a look?",Endpoint Management
"Urgent: my Outlook. Good morning, My outlook isn't syncing on my phone. When can this be fixed?",Email & Collaboration
"Problem. Hi, I can't log in this morning, it just keeps rejecting me. This is blocking my work.",Email & Collaboration
"Not working. Hey, The system throws an error every time I try to save. This is blocking my work.",Database
"the new joiner's account. Hey, Offboarding: please disable all access for an employee who left today. Also, the new joiner's account lost access after the reorg. Please advise.",Identity & Access
"Problem: my security group membership. Hello, Please grant me read access to the \\fileserver\finance share.",Identity & Access
"Help needed. Hello, I can't log in this morning, it just keeps rejecting me. Let me know what's needed.",Applications
Urgent: my voicemail. Please set up a new extension and voicemail box for a new starter. Let me know what's needed.,Telephony
"Urgent: the accounting software. Hello, The monthly report in the BI tool shows numbers that don't match finance. Thanks in advance.",Applications
"Question about the office WiFi. Good morning, Cannot reach internal servers from the 4th floor since this morning. Also, the office WiFi shows 'limited connectivity'. This is blocking my work.",Network
the guest network. Site-to-site tunnel between HQ and the warehouse is down. Please advise.,Network
"the floor printer. The floor printer is overheating and very loud. Also, the floor printer has several dead pixels. This is blocking my work.",Hardware
"Urgent: a stored procedure. Hi, A stored procedure shows replication lag of several hours. Also, a stored procedure queries are timing out. Let me know what's needed.",Database
"Request: the orders table. Good morning, Last night's backup failed with an I/O error and didn't retry. Also, the orders table hasn't completed since 2am. This is blocking my work.",Database
"Urgent: the external monitor. Hi, The external monitor won't charge past 1%. Please advise.",Hardware
"Question about the data warehouse. Hi team, Last night's backup failed with an I/O error and didn't retry. Thanks in advance.",Database
"Urgent: my laptop. Hey, My laptop screen flickers constantly. Let me know what's needed.",Hardware
"Problem: my calendar. Hey, Need a new shared mailbox created for the support team. Can you take a look?",Email & Collaboration
"Question about the Azure VM. Hi, The azure vm needs a new node pool added. Also, the Azure VM needs a new node pool added. Appreciate any help.",Cloud & Infrastructure
"Question about my calendar. Good morning, My calendar isn't receiving external email. Please advise.",Email & Collaboration
Question about the conference room phone. The conference room phone has no dial tone. Appreciate any help.,Telephony
"Issue with the VPN. Hi team, Ping to the gateway is over 300ms across the whole department. Appreciate any help.",Network
"Problem. Hello, I can't log in this morning, it just keeps rejecting me. Let me know what's needed.",Applications
"Problem: a suspicious login. Hey, Please review whether this attachment is safe before I open it. Appreciate any help.",Security
"the antivirus alert. Hi team, The antivirus alert I received and did not expect. Also, the antivirus alert from an unknown IP in another country. This is blocking my work.",Security
Issue with my laptop. My laptop is overheating and very loud. Please advise.,Hardware
"Urgent. Hello, Keeps asking me to sign in again and again and never lets me through. Let me know what's needed.",Email & Collaboration
Urgent: the shared mailbox. Need a new shared mailbox created for the support team. This is blocking my work.,Email & Collaboration
"Question about the switch in the server room. Hey, Port on the wall jack at desk B-12 seems dead, no link light. This is blocking my work.",Network
"Hi team, Can't authenticate this morning, nothing I try works. Please advise.",Email & Collaboration
"Help needed — my Outlook. Hi, My outlook isn't receiving external email. Appreciate any help.",Email & Collaboration
"Issue. Hi, From home I can't connect to any internal systems at all. Appreciate any help.",Endpoint Management
"a phishing email. Hi, A phishing email from an unknown IP in another country. Also, a phishing email blocking a legitimate vendor. Thanks in advance.",Security
"my account. Hi, Please grant me read access to the \\fileserver\finance share. When can this be fixed?",Identity & Access
"Request: disk encryption (BitLocker). Hey, Disk encryption (bitlocker) isn't compliant in the management console. Also, disk encryption (BitLocker) is forcing a restart in the middle of meetings. Appreciate any help.",Endpoint Management
"Question about the shared drive permissions. Hey, Offboarding: please disable all access for an employee who left today. Also, the shared drive permissions should be disabled, the person left. Let me know what's needed.",Identity & Access
After this morning my laptop just isn't behaving normally.,Hardware
"Help needed. Hi, Everything is really slow today, the whole floor is affected. Appreciate any help.",Database
Urgent. People can't reach me and my calls keep dropping after a second. Appreciate any help.,Telephony
Not working. Callers say I sound broken up and then the line dies. Please advise.,Telephony
"Issue with the company signature. Hey, The company signature is full and rejecting new mail. This is blocking my work.",Email & Collaboration
"Urgent. Hello, I got a weird email asking me to log in and confirm my password. Let me know what's needed.",Security
"Question. Hi, Everything is really slow today, the whole floor is affected. Can you take a look?",Cloud & Infrastructure
"Urgent: the hunt group. Hi, The hunt group needs to be forwarded to my mobile. Also, the hunt group has terrible audio quality. Let me know what's needed.",Telephony
"Issue. Good morning, Remote access isn't working, I can't reach anything internal. Please advise.",Endpoint Management
"Urgent. Hi, The audio is terrible on calls, lots of echo and cutting out. Thanks in advance.",Telephony
"Urgent: a distribution list. Hello, A distribution list lost access for half the team. Appreciate any help.",Email & Collaboration
"Issue. Good morning, After this morning my laptop just isn't behaving normally. Let me know what's needed.",Hardware
"Question about the data warehouse. Hi, The data warehouse is throwing deadlock errors. Thanks in advance.",Database
"Help needed — the call queue. Hey, The call queue isn't receiving incoming calls.",Telephony
"the CI/CD runner. Hi, Staging environment is down after the last deploy, can you roll it back.",Cloud & Infrastructure
"Help needed. Hi team, From home I can't connect to any internal systems at all.",Security
Problem. After this morning my laptop just isn't behaving normally. Can you take a look?,Endpoint Management
"Issue with the docking station. Hi team, Requesting a second monitor and a docking station for my new desk. Appreciate any help.",Hardware
Problem. Pages and reports hang for ages before anything shows up. Thanks in advance.,Network
"Issue with my mailbox quota. Hey, My mailbox quota lost access for half the team. Thanks in advance.",Email & Collaboration
"the headset for calls. Hello, The headset for calls shows the wrong caller ID. Also, the headset for calls has terrible audio quality. Let me know what's needed.",Telephony
"Urgent. Hi team, An error pops up and the whole thing stops working. Can you take a look?",Database
"Problem. Hello, I'm being refused access to files I'm supposed to see.",Security
"an expired TLS certificate. Hi, An expired tls certificate from an unknown IP in another country.",Security
Request: my extension. Callers say they can hear me but I can't hear them on the softphone. Can you take a look?,Telephony
"Problem: the Teams channel. Hi, The teams channel isn't receiving external email. Can you take a look?",Email & Collaboration
"Question about the Teams channel. Hi, The teams channel won't send messages and they stay in Outbox. Also, the Teams channel shows duplicate appointments. Thanks in advance.",Email & Collaboration
"Request: my extension. Hey, The support hotline calls aren't reaching the queue, customers complain. Also, my extension has no dial tone. When can this be fixed?",Telephony
"Not working. Hi, I can't connect from home today, it just spins and never loads. Can you take a look?",Endpoint Management
"Hello, I'm completely locked out and can't start my day.",Applications
"Question about an expired TLS certificate. Hi, I clicked a link in an email before realising it was fake, what should I do. Please advise.",Security
"the data warehouse. Hi, The data warehouse shows replication lag of several hours. Please advise.",Database
"Issue with an expired TLS certificate. An expired tls certificate I received and did not expect. Also, an expired TLS certificate blocking a legitimate vendor. This is blocking my work.",Security
Question. Callers say I sound broken up and then the line dies. This is blocking my work.,Telephony
"Issue with the softphone app. Hey, The softphone app drops calls after a few seconds. Please advise.",Telephony
"Issue with the OS upgrade. Hey, Windows update has been stuck installing for two days, can't use the laptop. Also, the OS upgrade won't enroll my new device. Let me know what's needed.",Endpoint Management
"the Kubernetes cluster. Hi team, The kubernetes cluster needs a new node pool added. Also, the Kubernetes cluster ran out of disk and crashed. Please advise.",Cloud & Infrastructure
"Urgent. Hi team, An error pops up and the whole thing stops working. When can this be fixed?",Applications
"Request: the webcam. Hey, The webcam won't charge past 1%. Thanks in advance.",Hardware
"Issue with my password. Hey, My password needs admin rights for the deployment tool. Appreciate any help.",Identity & Access
"access to the finance folder. Good morning, Access to the finance folder lost access after the reorg. Let me know what's needed.",Identity & Access
Urgent. After this morning my laptop just isn't behaving normally. Thanks in advance.,Hardware
"Help needed. Hello, Can't authenticate this morning, nothing I try works. Appreciate any help.",Identity & Access
"Everything is really slow today, the whole floor is affected. When can this be fixed?",Database
"Request: my Outlook. Hey, My sent items are missing after the mailbox migration last weekend.",Email & Collaboration
"Not working. Hi team, Can't get onto the company network from home this morning. This is blocking my work.",Endpoint Management
"Issue. Hey, From home I can't connect to any internal systems at all. Let me know what's needed.",Network
"Issue with the CI/CD runner. Hello, The ci/cd runner needs a new node pool added.",Cloud & Infrastructure
"the company VPN client install. The company vpn client install removed an app I need for work. Also, the company VPN client install isn't compliant in the management console. When can this be fixed?",Endpoint Management
"Question about my mailbox quota. Good morning, My mailbox quota is full and rejecting new mail. Let me know what's needed.",Email & Collaboration
"Good morning, It takes forever to load anything since this morning. Appreciate any help.",Cloud & Infrastructure
"Question. I can't connect from home today, it just spins and never loads. Please advise.",Endpoint Management
"Help needed. Hello, Getting an unexpected error and I can't continue with my task. Thanks in advance.",Applications
"Problem: the S3 bucket. Hey, The s3 bucket is running at 100% CPU. Also, the S3 bucket returns 503 behind the load balancer. Appreciate any help.",Cloud & Infrastructure
"the nightly backup job. Hi, The nightly backup job shows replication lag of several hours. When can this be fixed?",Database
"Good morning, After this morning my laptop just isn't behaving normally. This is blocking my work.",Endpoint Management
"Problem. Good morning, Performance is terrible right now, everyone is complaining. Let me know what's needed.",Cloud & Infrastructure
It says access denied when I try to open the team folder. Thanks in advance.,Security
"my Outlook. My outlook lost access for half the team. Also, my Outlook won't send messages and they stay in Outbox. Please advise.",Email & Collaboration
"Good morning, My laptop won't turn on this morning, nothing happens at all. This is blocking my work.",Endpoint Management
the timesheet tool. The timesheet tool shows a blank screen on the dashboard tab. This is blocking my work.,Applications
"Problem. Hi team, Received an odd message with a link, can someone check it. Thanks in advance.",Email & Collaboration
"Request: the Teams channel. Hi, My sent items are missing after the mailbox migration last weekend. Also, the Teams channel isn't receiving external email. Can you take a look?",Email & Collaboration
"Question about the DLP policy. Hey, The dlp policy warning me my machine is infected. Can you take a look?",Security
"Help needed — the antivirus alert. Hi, The antivirus alert from an unknown IP in another country. Also, the antivirus alert from an unknown IP in another country. This is blocking my work.",Security
"Question about my smartcard. Good morning, My smartcard isn't a member of the right security group. When can this be fixed?",Identity & Access
"Request: the conference room phone. Need my desk phone calls forwarded to my mobile while I travel next week. Also, the conference room phone has no dial tone. Please advise.",Telephony
"Urgent: the webcam. The webcam isn't detected when docked. Also, the webcam has keys that stopped working. When can this be fixed?",Hardware
"the security patch. Hi, My device shows as non-compliant and I lost access to email because of it. Also, the security patch failed to install and rolled back. Can you take a look?",Endpoint Management
"Urgent: a distribution list. Hello, Please add three new people to the 'all-sales' distribution list. Also, a distribution list shows the wrong free/busy status. Please advise.",Email & Collaboration
"Request: a suspicious login. A suspicious login that quarantined my file. Also, a suspicious login from an unknown IP in another country. Please advise.",Security
Urgent: a flagged attachment. A flagged attachment from an unknown IP in another country. Please advise.,Security
"Request: the call queue. Good morning, The call queue needs to be forwarded to my mobile. Let me know what's needed.",Telephony
"Help needed — the production EC2 instance. Hi team, Requesting a new S3 bucket with read-only access for the analytics group. This is blocking my work.",Cloud & Infrastructure
"Question. Hey, Massive slowdown across the board, work is barely possible. This is blocking my work.",Network
"Problem: the nightly backup job. Hi, A SELECT that used to take 1s now takes 40s after the last data load.",Database
the data warehouse. The data warehouse returns 'too many connections'. Can you take a look?,Database
"Problem: the shared drive permissions. Hello, I need to be added to the 'Project-Atlas' security group to see the files. Also, the shared drive permissions needs read access to the finance share. When can this be fixed?",Identity & Access
"Issue with the software deployment. Hi team, The software deployment isn't compliant in the management console. Appreciate any help.",Endpoint Management
"Urgent: my password. Hey, My password isn't a member of the right security group. Can you take a look?",Identity & Access
"Urgent: the corporate firewall. Good morning, The corporate firewall keeps dropping every few minutes. Can you take a look?",Network
"Request: the SharePoint site. Hello, My sent items are missing after the mailbox migration last weekend. Please advise.",Email & Collaboration
my keyboard. My keyboard screen flickers constantly.,Hardware
"Urgent. Hi, I can't log in this morning, it just keeps rejecting me. This is blocking my work.",Identity & Access
"Urgent: my password. Hey, New employee starts Monday and needs accounts and group access set up.",Identity & Access
"Issue. Hey, This email seems fishy and wants my credentials, what do I do. Let me know what's needed.",Email & Collaboration
"the VPN. Hello, The vpn shows 'limited connectivity'. Also, the VPN loses packets intermittently. Let me know what's needed.",Network
"Hi team, People can't reach me and my calls keep dropping after a second. Appreciate any help.",Telephony
"Issue. Hi team, Pages and reports hang for ages before anything shows up. Appreciate any help.",Cloud & Infrastructure
Problem: the data warehouse. A SELECT that used to take 1s now takes 40s after the last data load. When can this be fixed?,Database
"Urgent: the blob storage. Hi, Staging environment is down after the last deploy, can you roll it back. Please advise.",Cloud & Infrastructure
"Problem. Hello, I can't log in this morning, it just keeps rejecting me. This is blocking my work.",Security
"Issue with a suspicious login. Hi team, A suspicious login that quarantined my file. Also, a suspicious login that I think is a scam. When can this be fixed?",Security
"the nightly backup job. Hi team, The nightly backup job returns 'too many connections'. Appreciate any help.",Database
"Question about the staging environment. Hi team, The staging environment is running at 100% CPU.",Cloud & Infrastructure
"Question about the Azure VM. Staging environment is down after the last deploy, can you roll it back. Also, the Azure VM needs a new node pool added. Let me know what's needed.",Cloud & Infrastructure
"my headset. Hello, My headset won't charge past 1%. Thanks in advance.",Hardware
"Urgent: the management policy. Hello, The management policy is forcing a restart in the middle of meetings. Appreciate any help.",Endpoint Management
"Help needed — the CI/CD runner. Hi team, The ci/cd runner returns 503 behind the load balancer. Thanks in advance.",Cloud & Infrastructure
"Problem: my desk phone. Hello, Callers say they can hear me but I can't hear them on the softphone. Also, my desk phone isn't receiving incoming calls. This is blocking my work.",Telephony
"Hello, I'm completely locked out and can't start my day. Let me know what's needed.",Email & Collaboration
"Issue with the Teams channel. Hey, The teams channel lost access for half the team. Can you take a look?",Email & Collaboration
"Urgent: the autoscaling group. Hey, The autoscaling group is running at 100% CPU. Thanks in advance.",Cloud & Infrastructure
"Hi, It takes forever to load anything since this morning. Please advise.",Network
"Help needed — the device enrollment. Hey, After the latest patch my laptop boots to a black screen. Please advise.",Endpoint Management
"a distribution list. Hi team, Please add three new people to the 'all-sales' distribution list. When can this be fixed?",Email & Collaboration
"Urgent: a flagged attachment. Hi team, Reporting a colleague's account that is sending spam to the whole company. Please advise.",Security
"Problem: the switch in the server room. Hey, The switch in the server room drops whenever I join a video call. This is blocking my work.",Network
"Help needed — the staging environment. Hey, Requesting a new S3 bucket with read-only access for the analytics group. Also, the staging environment returns 503 behind the load balancer. Please advise.",Cloud & Infrastructure
"Issue with a distribution list. Hi, My sent items are missing after the mailbox migration last weekend.",Email & Collaboration
"Problem: the management policy. Hello, Windows update has been stuck installing for two days, can't use the laptop. Thanks in advance.",Endpoint Management
"Request: internet access. Hey, Internet access is extremely slow during peak hours. Also, internet access shows 'limited connectivity'. This is blocking my work.",Network
"the SharePoint site. Hello, The sharepoint site isn't receiving external email. This is blocking my work.",Email & Collaboration
"Issue. Hello, Massive slowdown across the board, work is barely possible.",Database
"Issue. Hey, Can't get onto the company network from home this morning. Can you take a look?",Network
Problem: the floor printer. The floor printer screen flickers constantly. Let me know what's needed.,Hardware
"Question about my smartcard. Hello, My smartcard needs admin rights for the deployment tool. Please advise.",Identity & Access
"Question. Good morning, Suddenly I'm blocked from a shared resource I need for work. Can you take a look?",Identity & Access
"Question about the timesheet tool. Hi team, I need a license assigned for the analytics application for a new team member. Can you take a look?",Applications
"Not working. Hey, Laptop restarts on its own in the middle of my work. Thanks in advance.",Endpoint Management
"Issue with the meeting invite. Hi team, Cannot book the 5th floor meeting room, it doesn't appear in the room list. Also, the meeting invite lost access for half the team. Appreciate any help.",Email & Collaboration
"Issue with the OS upgrade. Please push the standard software bundle to my freshly imaged laptop. Also, the OS upgrade isn't compliant in the management console.",Endpoint Management
"my security group membership. Hello, My security group membership needs admin rights for the deployment tool. This is blocking my work.",Identity & Access
"my laptop's Windows update. My laptop's windows update failed to install and rolled back. Also, my laptop's Windows update won't enroll my new device. Appreciate any help.",Endpoint Management
"Question about a suspicious login. Hi team, A suspicious login warning me my machine is infected. Also, a suspicious login warning me my machine is infected. When can this be fixed?",Security
"Help needed. Hey, I can't connect from home today, it just spins and never loads.",Security
"Question about a possible malware infection. Hello, A possible malware infection warning me my machine is infected. Also, a possible malware infection blocking a legitimate vendor. Appreciate any help.",Security
"a phishing email. Hey, Reporting a colleague's account that is sending spam to the whole company. Also, a phishing email that I think is a scam.",Security
"Not working. Hey, Laptop restarts on its own in the middle of my work. Thanks in advance.",Endpoint Management
"Issue with the contractor account. Hey, The contractor account needs to be provisioned for a new hire starting Monday.",Identity & Access
"Urgent. Good morning, It won't accept my credentials since the weekend. Appreciate any help.",Applications
Question about a flagged attachment. Reporting a colleague's account that is sending spam to the whole company. Please advise.,Security
"the Teams channel. Good morning, My sent items are missing after the mailbox migration last weekend. Also, the Teams channel isn't receiving external email. Can you take a look?",Email & Collaboration
"Problem: the SharePoint site. Good morning, The sharepoint site won't send messages and they stay in Outbox. Thanks in advance.",Email & Collaboration
"Urgent: the MFA app. Hey, I need to be added to the 'Project-Atlas' security group to see the files. Also, the MFA app needs admin rights for the deployment tool.",Identity & Access
"Request: the software deployment. Hi team, My device shows as non-compliant and I lost access to email because of it. Thanks in advance.",Endpoint Management
"Question about the conference room phone. Hi, The conference room phone isn't receiving incoming calls. Thanks in advance.",Telephony
"Not working. Hello, Getting an unexpected error and I can't continue with my task.",Applications
"Question about the reporting database. Good morning, The reporting database hasn't completed since 2am. Appreciate any help.",Database
"Urgent. Hi, My machine froze and now it won't boot properly. Let me know what's needed.",Hardware
"Permission error opening the drive, I had access last week. Let me know what's needed.",Identity & Access
"Problem: the blob storage. Hi team, The blob storage won't scale up under load. Also, the blob storage ran out of disk and crashed. Can you take a look?",Cloud & Infrastructure
Problem. An error pops up and the whole thing stops working. Let me know what's needed.,Applications
"the corporate firewall. Hi, The corporate firewall can't reach the 10.x.x.x subnet. Let me know what's needed.",Network
"a possible malware infection. Hi team, Got an alert that someone signed into my account from Brazil at 3am. Can you take a look?",Security
"Question about a distribution list. Hi team, A distribution list shows duplicate appointments. Let me know what's needed.",Email & Collaboration
"Question. Hi, Massive slowdown across the board, work is barely possible. Let me know what's needed.",Cloud & Infrastructure
"the replication slave. Hi team, The replication slave is running out of disk on the data volume. Also, the replication slave returns 'too many connections'. Appreciate any help.",Database
"Request: the design software license. Hi team, I need a license assigned for the analytics application for a new team member. Can you take a look?",Applications
"Question. Hi team, It says access denied when I try to open the team folder. When can this be fixed?",Identity & Access
"Urgent. Strange message landed in my inbox, not sure it's legitimate. Thanks in advance.",Email & Collaboration
"Help needed — my smartcard. Hey, My smartcard should be disabled, the person left. This is blocking my work.",Identity & Access
"Question about my headset. Hello, The printer on the 2nd floor keeps jamming on every print job. Can you take a look?",Hardware
"Hey, From home I can't connect to any internal systems at all.",Network
"Issue. Hi, The audio is terrible on calls, lots of echo and cutting out. Appreciate any help.",Telephony
"Question about the softphone app. Good morning, The softphone app drops calls after a few seconds. Can you take a look?",Telephony
"Problem: the staging environment. Hello, Please provision a new VM with 16GB RAM for the data team's pipeline.",Cloud & Infrastructure
"Request: my headset. Good morning, My laptop fell and the screen is now cracked, need a replacement. Please advise.",Hardware
"Urgent: the antivirus client. Good morning, Windows update has been stuck installing for two days, can't use the laptop. This is blocking my work.",Endpoint Management
"my headset. Good morning, My headset has several dead pixels. Thanks in advance.",Hardware
"the S3 bucket. Good morning, Staging environment is down after the last deploy, can you roll it back.",Cloud & Infrastructure
"Urgent: the device enrollment. Good morning, My device shows as non-compliant and I lost access to email because of it. Please advise.",Endpoint Management
"Issue. Good morning, It says my account is locked and I can't get in. When can this be fixed?",Applications
"Urgent: a stored procedure. Hey, A stored procedure is throwing deadlock errors. Please advise.",Database
"Hey, My laptop won't turn on this morning, nothing happens at all. This is blocking my work.",Hardware
"a phishing email. Hello, A phishing email that I think is a scam. Let me know what's needed.",Security
"the laptop fan. Hi, The laptop fan screen flickers constantly. Appreciate any help.",Hardware
"Urgent: the guest network. Hi team, Port on the wall jack at desk B-12 seems dead, no link light. Thanks in advance.",Network
Issue with the branch-office link. The branch-office link is extremely slow during peak hours. Let me know what's needed.,Network
"the DLP policy. Good morning, Reporting a colleague's account that is sending spam to the whole company. Thanks in advance.",Security
"Help needed — the accounting software. Hi, The accounting software shows a blank screen on the dashboard tab. Thanks in advance.",Applications
"Urgent: the blob storage. Hi team, The blob storage needs more memory provisioned.",Cloud & Infrastructure
Urgent: the company VPN client install. The company vpn client install failed to install and rolled back. This is blocking my work.,Endpoint Management
"Question about the orders table. We need an index added on the customer_id column, the report is unusable. Thanks in advance.",Database
"the hunt group. The hunt group has no dial tone. Also, the hunt group has terrible audio quality. This is blocking my work.",Telephony
"Problem: the load balancer. Hi team, The load balancer keeps dropping every few minutes. When can this be fixed?",Network
the company VPN client install. The company vpn client install isn't compliant in the management console. Appreciate any help.,Endpoint Management
"Issue with the autoscaling group. Hi team, The autoscaling group ran out of disk and crashed. Appreciate any help.",Cloud & Infrastructure
"Urgent: the contractor account. Hi team, Please grant me read access to the \\fileserver\finance share. Appreciate any help.",Identity & Access
"Urgent: the laptop battery. Good morning, The laptop battery has keys that stopped working. Appreciate any help.",Hardware
"my smartcard. Hey, Offboarding: please disable all access for an employee who left today.",Identity & Access
"Urgent: access to the finance folder. I need to be added to the 'Project-Atlas' security group to see the files. Also, access to the finance folder needs to be provisioned for a new hire starting Monday. Let me know what's needed.",Identity & Access
"Question. Hi team, Laptop restarts on its own in the middle of my work. Appreciate any help.",Hardware
"Question about access to the finance folder. Hello, New employee starts Monday and needs accounts and group access set up. Also, access to the finance folder lost access after the reorg. Please advise.",Identity & Access
"Not working. Hey, Getting an unexpected error and I can't continue with my task. This is blocking my work.",Database
